Language	Text	Spker	Code_Spker	Sex	Duration	NbSyllables	SpeechRate	ShannonEntropy	ConditionalEntropy	InfoRate_ShannonEntropy	InfoRate_ConditionalEntropy
CAT	O1	F1(Su)	CAT_F1(Su)	F	12.43	88	7.08	8.10	5.49	57.35 	38.86 
CAT	O2	F1(Su)	CAT_F1(Su)	F	16.92	118	6.97	8.10	5.49	56.49 	38.28 
CAT	O3	F1(Su)	CAT_F1(Su)	F	19.96	139	6.96	8.10	5.49	56.41 	38.23 
CAT	O4	F1(Su)	CAT_F1(Su)	F	22.42	142	6.33	8.10	5.49	51.30 	34.77 
CAT	O6	F1(Su)	CAT_F1(Su)	F	13.49	99	7.34	8.10	5.49	59.44 	40.29 
CAT	O8	F1(Su)	CAT_F1(Su)	F	18.95	131	6.91	8.10	5.49	55.99 	37.95 
CAT	O9	F1(Su)	CAT_F1(Su)	F	11.35	81	7.14	8.10	5.49	57.81 	39.18 
CAT	P0	F1(Su)	CAT_F1(Su)	F	18.53	122	6.58	8.10	5.49	53.33 	36.14 
CAT	P1	F1(Su)	CAT_F1(Su)	F	19.74	127	6.43	8.10	5.49	52.11 	35.32 
CAT	P2	F1(Su)	CAT_F1(Su)	F	17.33	118	6.81	8.10	5.49	55.15 	37.38 
CAT	P3	F1(Su)	CAT_F1(Su)	F	19.39	131	6.76	8.10	5.49	54.72 	37.09 
CAT	P8	F1(Su)	CAT_F1(Su)	F	17.9	117	6.54	8.10	5.49	52.94 	35.88 
CAT	P9	F1(Su)	CAT_F1(Su)	F	17.05	119	6.98	8.10	5.49	56.53 	38.31 
CAT	Q0	F1(Su)	CAT_F1(Su)	F	18.55	127	6.85	8.10	5.49	55.46 	37.58 
CAT	Q1	F1(Su)	CAT_F1(Su)	F	13.48	93	6.9	8.10	5.49	55.88 	37.87 
CAT	O1	F2(De)	CAT_F2(De)	F	12.51	88	7.03	8.10	5.49	56.98 	38.62 
CAT	O2	F2(De)	CAT_F2(De)	F	16.49	118	7.16	8.10	5.49	57.96 	39.28 
CAT	O3	F2(De)	CAT_F2(De)	F	18.48	139	7.52	8.10	5.49	60.93 	41.29 
CAT	O4	F2(De)	CAT_F2(De)	F	19.98	142	7.11	8.10	5.49	57.57 	39.01 
CAT	O6	F2(De)	CAT_F2(De)	F	12.48	99	7.93	8.10	5.49	64.25 	43.55 
CAT	O8	F2(De)	CAT_F2(De)	F	16.45	131	7.96	8.10	5.49	64.50 	43.72 
CAT	O9	F2(De)	CAT_F2(De)	F	10.02	81	8.08	8.10	5.49	65.48 	44.38 
CAT	P0	F2(De)	CAT_F2(De)	F	16.69	122	7.31	8.10	5.49	59.21 	40.13 
CAT	P1	F2(De)	CAT_F2(De)	F	16.36	127	7.76	8.10	5.49	62.88 	42.61 
CAT	P2	F2(De)	CAT_F2(De)	F	15.46	118	7.63	8.10	5.49	61.82 	41.90 
CAT	P3	F2(De)	CAT_F2(De)	F	17.92	131	7.31	8.10	5.49	59.21 	40.13 
CAT	P8	F2(De)	CAT_F2(De)	F	15.06	117	7.77	8.10	5.49	62.93 	42.65 
CAT	P9	F2(De)	CAT_F2(De)	F	15.5	119	7.68	8.10	5.49	62.19 	42.15 
CAT	Q0	F2(De)	CAT_F2(De)	F	16.71	127	7.6	8.10	5.49	61.56 	41.72 
CAT	Q1	F2(De)	CAT_F2(De)	F	12.31	93	7.55	8.10	5.49	61.19 	41.47 
CAT	O1	F3(Mo)	CAT_F3(Mo)	F	12.44	88	7.07	8.10	5.49	57.30 	38.83 
CAT	O2	F3(Mo)	CAT_F3(Mo)	F	16.28	118	7.25	8.10	5.49	58.71 	39.79 
CAT	O3	F3(Mo)	CAT_F3(Mo)	F	20.26	139	6.86	8.10	5.49	55.57 	37.66 
CAT	O4	F3(Mo)	CAT_F3(Mo)	F	20.3	142	7.00	8.10	5.49	56.66 	38.40 
CAT	O6	F3(Mo)	CAT_F3(Mo)	F	13.72	99	7.22	8.10	5.49	58.45 	39.61 
CAT	O8	F3(Mo)	CAT_F3(Mo)	F	17.84	131	7.34	8.10	5.49	59.48 	40.31 
CAT	O9	F3(Mo)	CAT_F3(Mo)	F	10.9	81	7.43	8.10	5.49	60.19 	40.79 
CAT	P0	F3(Mo)	CAT_F3(Mo)	F	17.42	122	7.00	8.10	5.49	56.73 	38.45 
CAT	P1	F3(Mo)	CAT_F3(Mo)	F	19.25	127	6.6	8.10	5.49	53.44 	36.22 
CAT	P2	F3(Mo)	CAT_F3(Mo)	F	17.68	118	6.67	8.10	5.49	54.06 	36.64 
CAT	P3	F3(Mo)	CAT_F3(Mo)	F	18.49	131	7.08	8.10	5.49	57.39 	38.89 
CAT	P8	F3(Mo)	CAT_F3(Mo)	F	16.18	117	7.23	8.10	5.49	58.57 	39.70 
CAT	P9	F3(Mo)	CAT_F3(Mo)	F	17.29	119	6.88	8.10	5.49	55.75 	37.78 
CAT	Q0	F3(Mo)	CAT_F3(Mo)	F	19.02	127	6.68	8.10	5.49	54.09 	36.65 
CAT	Q1	F3(Mo)	CAT_F3(Mo)	F	13.01	93	7.15	8.10	5.49	57.90 	39.24 
CAT	O1	F4(Mi)	CAT_F4(Mi)	F	12.18	88	7.22	8.10	5.49	58.52 	39.66 
CAT	O2	F4(Mi)	CAT_F4(Mi)	F	16.46	118	7.17	8.10	5.49	58.07 	39.35 
CAT	O3	F4(Mi)	CAT_F4(Mi)	F	19.51	139	7.12	8.10	5.49	57.71 	39.11 
CAT	O4	F4(Mi)	CAT_F4(Mi)	F	20.93	142	6.78	8.10	5.49	54.95 	37.24 
CAT	O6	F4(Mi)	CAT_F4(Mi)	F	13.69	99	7.23	8.10	5.49	58.58 	39.70 
CAT	O8	F4(Mi)	CAT_F4(Mi)	F	17.54	131	7.47	8.10	5.49	60.50 	41.00 
CAT	O9	F4(Mi)	CAT_F4(Mi)	F	11.52	81	7.03	8.10	5.49	56.95 	38.60 
CAT	P0	F4(Mi)	CAT_F4(Mi)	F	18.67	122	6.53	8.10	5.49	52.93 	35.87 
CAT	P1	F4(Mi)	CAT_F4(Mi)	F	17.8	127	7.13	8.10	5.49	57.79 	39.17 
CAT	P2	F4(Mi)	CAT_F4(Mi)	F	17.13	118	6.89	8.10	5.49	55.80 	37.81 
CAT	P3	F4(Mi)	CAT_F4(Mi)	F	18.86	131	6.95	8.10	5.49	56.26 	38.13 
CAT	P8	F4(Mi)	CAT_F4(Mi)	F	15.92	117	7.35	8.10	5.49	59.53 	40.34 
CAT	P9	F4(Mi)	CAT_F4(Mi)	F	16.79	119	7.09	8.10	5.49	57.41 	38.91 
CAT	Q0	F4(Mi)	CAT_F4(Mi)	F	17.65	127	7.2	8.10	5.49	58.28 	39.50 
CAT	Q1	F4(Mi)	CAT_F4(Mi)	F	13.06	93	7.12	8.10	5.49	57.68 	39.09 
CAT	O1	F5(An)	CAT_F5(An)	F	13.81	88	6.37	8.10	5.49	51.61 	34.98 
CAT	O2	F5(An)	CAT_F5(An)	F	18.68	118	6.32	8.10	5.49	51.17 	34.68 
CAT	O3	F5(An)	CAT_F5(An)	F	22.53	139	6.17	8.10	5.49	49.97 	33.87 
CAT	O4	F5(An)	CAT_F5(An)	F	23.33	142	6.09	8.10	5.49	49.30 	33.41 
CAT	O6	F5(An)	CAT_F5(An)	F	14.95	99	6.62	8.10	5.49	53.64 	36.35 
CAT	O8	F5(An)	CAT_F5(An)	F	19.63	131	6.67	8.10	5.49	54.06 	36.63 
CAT	O9	F5(An)	CAT_F5(An)	F	12.26	81	6.61	8.10	5.49	53.52 	36.27 
CAT	P0	F5(An)	CAT_F5(An)	F	20.19	122	6.04	8.10	5.49	48.95 	33.17 
CAT	P1	F5(An)	CAT_F5(An)	F	19.25	127	6.6	8.10	5.49	53.44 	36.22 
CAT	P2	F5(An)	CAT_F5(An)	F	18.83	118	6.27	8.10	5.49	50.76 	34.40 
CAT	P3	F5(An)	CAT_F5(An)	F	22.36	131	5.86	8.10	5.49	47.46 	32.16 
CAT	P9	F5(An)	CAT_F5(An)	F	18.79	119	6.33	8.10	5.49	51.30 	34.77 
CAT	Q0	F5(An)	CAT_F5(An)	F	19.39	127	6.55	8.10	5.49	53.05 	35.95 
CAT	Q1	F5(An)	CAT_F5(An)	F	15.4	93	6.04	8.10	5.49	48.92 	33.15 
CAT	O1	M1(Xa)	CAT_M1(Xa)	M	11.9	88	7.39	8.10	5.49	59.90 	40.59 
CAT	O2	M1(Xa)	CAT_M1(Xa)	M	15.66	118	7.54	8.10	5.49	61.03 	41.36 
CAT	O3	M1(Xa)	CAT_M1(Xa)	M	18.00	139	7.72	8.10	5.49	62.55 	42.39 
CAT	O4	M1(Xa)	CAT_M1(Xa)	M	19.99	142	7.1	8.10	5.49	57.54 	38.99 
CAT	O6	M1(Xa)	CAT_M1(Xa)	M	13.39	99	7.39	8.10	5.49	59.89 	40.59 
CAT	O8	M1(Xa)	CAT_M1(Xa)	M	17.13	131	7.65	8.10	5.49	61.94 	41.98 
CAT	O9	M1(Xa)	CAT_M1(Xa)	M	10.56	81	7.67	8.10	5.49	62.13 	42.11 
CAT	P0	M1(Xa)	CAT_M1(Xa)	M	17.42	122	7.00	8.10	5.49	56.73 	38.45 
CAT	P1	M1(Xa)	CAT_M1(Xa)	M	16.36	127	7.76	8.10	5.49	62.88 	42.61 
CAT	P2	M1(Xa)	CAT_M1(Xa)	M	15.67	118	7.53	8.10	5.49	61.00 	41.34 
CAT	P3	M1(Xa)	CAT_M1(Xa)	M	17.38	131	7.54	8.10	5.49	61.05 	41.38 
CAT	P8	M1(Xa)	CAT_M1(Xa)	M	14.98	117	7.81	8.10	5.49	63.26 	42.88 
CAT	P9	M1(Xa)	CAT_M1(Xa)	M	15.37	119	7.74	8.10	5.49	62.71 	42.50 
CAT	Q0	M1(Xa)	CAT_M1(Xa)	M	17.44	127	7.28	8.10	5.49	58.99 	39.98 
CAT	Q1	M1(Xa)	CAT_M1(Xa)	M	11.53	93	8.07	8.10	5.49	65.33 	44.28 
CAT	O1	M2(Al)	CAT_M2(Al)	M	11.46	88	7.68	8.10	5.49	62.20 	42.15 
CAT	O2	M2(Al)	CAT_M2(Al)	M	16.7	118	7.07	8.10	5.49	57.23 	38.79 
CAT	O3	M2(Al)	CAT_M2(Al)	M	19.12	139	7.27	8.10	5.49	58.89 	39.91 
