Speaker	Language	Text	Sex	Duration	NS	ShE	ID	Age
CAT_F1(Su)	CAT	O1	F	12.43	88	8.1	5.49	42
CAT_F1(Su)	CAT	O2	F	16.92	118	8.1	5.49	42
CAT_F1(Su)	CAT	O3	F	19.96	139	8.1	5.49	42
CAT_F1(Su)	CAT	O4	F	22.42	142	8.1	5.49	42
CAT_F1(Su)	CAT	O6	F	13.49	99	8.1	5.49	42
CAT_F1(Su)	CAT	O8	F	18.95	131	8.1	5.49	42
CAT_F1(Su)	CAT	O9	F	11.35	81	8.1	5.49	42
CAT_F1(Su)	CAT	P0	F	18.53	122	8.1	5.49	42
CAT_F1(Su)	CAT	P1	F	19.74	127	8.1	5.49	42
CAT_F1(Su)	CAT	P2	F	17.33	118	8.1	5.49	42
CAT_F1(Su)	CAT	P3	F	19.39	131	8.1	5.49	42
CAT_F1(Su)	CAT	P8	F	17.9	117	8.1	5.49	42
CAT_F1(Su)	CAT	P9	F	17.05	119	8.1	5.49	42
CAT_F1(Su)	CAT	Q0	F	18.55	127	8.1	5.49	42
CAT_F1(Su)	CAT	Q1	F	13.48	93	8.1	5.49	42
CAT_F2(De)	CAT	O1	F	12.51	88	8.1	5.49	50
CAT_F2(De)	CAT	O2	F	16.49	118	8.1	5.49	50
CAT_F2(De)	CAT	O3	F	18.48	139	8.1	5.49	50
CAT_F2(De)	CAT	O4	F	19.98	142	8.1	5.49	50
CAT_F2(De)	CAT	O6	F	12.48	99	8.1	5.49	50
CAT_F2(De)	CAT	O8	F	16.45	131	8.1	5.49	50
CAT_F2(De)	CAT	O9	F	10.02	81	8.1	5.49	50
CAT_F2(De)	CAT	P0	F	16.69	122	8.1	5.49	50
CAT_F2(De)	CAT	P1	F	16.36	127	8.1	5.49	50
CAT_F2(De)	CAT	P2	F	15.46	118	8.1	5.49	50
CAT_F2(De)	CAT	P3	F	17.92	131	8.1	5.49	50
CAT_F2(De)	CAT	P8	F	15.06	117	8.1	5.49	50
CAT_F2(De)	CAT	P9	F	15.5	119	8.1	5.49	50
CAT_F2(De)	CAT	Q0	F	16.71	127	8.1	5.49	50
CAT_F2(De)	CAT	Q1	F	12.31	93	8.1	5.49	50
CAT_F3(Mo)	CAT	O1	F	12.44	88	8.1	5.49	21
CAT_F3(Mo)	CAT	O2	F	16.28	118	8.1	5.49	21
CAT_F3(Mo)	CAT	O3	F	20.26	139	8.1	5.49	21
CAT_F3(Mo)	CAT	O4	F	20.3	142	8.1	5.49	21
CAT_F3(Mo)	CAT	O6	F	13.72	99	8.1	5.49	21
CAT_F3(Mo)	CAT	O8	F	17.84	131	8.1	5.49	21
CAT_F3(Mo)	CAT	O9	F	10.9	81	8.1	5.49	21
CAT_F3(Mo)	CAT	P0	F	17.42	122	8.1	5.49	21
CAT_F3(Mo)	CAT	P1	F	19.25	127	8.1	5.49	21
CAT_F3(Mo)	CAT	P2	F	17.68	118	8.1	5.49	21
CAT_F3(Mo)	CAT	P3	F	18.49	131	8.1	5.49	21
CAT_F3(Mo)	CAT	P8	F	16.18	117	8.1	5.49	21
CAT_F3(Mo)	CAT	P9	F	17.29	119	8.1	5.49	21
CAT_F3(Mo)	CAT	Q0	F	19.02	127	8.1	5.49	21
CAT_F3(Mo)	CAT	Q1	F	13.01	93	8.1	5.49	21
CAT_F4(Mi)	CAT	O1	F	12.18	88	8.1	5.49	28
CAT_F4(Mi)	CAT	O2	F	16.46	118	8.1	5.49	28
CAT_F4(Mi)	CAT	O3	F	19.51	139	8.1	5.49	28
CAT_F4(Mi)	CAT	O4	F	20.93	142	8.1	5.49	28
CAT_F4(Mi)	CAT	O6	F	13.69	99	8.1	5.49	28
CAT_F4(Mi)	CAT	O8	F	17.54	131	8.1	5.49	28
CAT_F4(Mi)	CAT	O9	F	11.52	81	8.1	5.49	28
CAT_F4(Mi)	CAT	P0	F	18.67	122	8.1	5.49	28
CAT_F4(Mi)	CAT	P1	F	17.8	127	8.1	5.49	28
CAT_F4(Mi)	CAT	P2	F	17.13	118	8.1	5.49	28
CAT_F4(Mi)	CAT	P3	F	18.86	131	8.1	5.49	28
CAT_F4(Mi)	CAT	P8	F	15.92	117	8.1	5.49	28
CAT_F4(Mi)	CAT	P9	F	16.79	119	8.1	5.49	28
CAT_F4(Mi)	CAT	Q0	F	17.65	127	8.1	5.49	28
CAT_F4(Mi)	CAT	Q1	F	13.06	93	8.1	5.49	28
CAT_F5(An)	CAT	O1	F	13.81	88	8.1	5.49	39
CAT_F5(An)	CAT	O2	F	18.68	118	8.1	5.49	39
CAT_F5(An)	CAT	O3	F	22.53	139	8.1	5.49	39
CAT_F5(An)	CAT	O4	F	23.33	142	8.1	5.49	39
CAT_F5(An)	CAT	O6	F	14.95	99	8.1	5.49	39
CAT_F5(An)	CAT	O8	F	19.63	131	8.1	5.49	39
CAT_F5(An)	CAT	O9	F	12.26	81	8.1	5.49	39
CAT_F5(An)	CAT	P0	F	20.19	122	8.1	5.49	39
CAT_F5(An)	CAT	P1	F	19.25	127	8.1	5.49	39
CAT_F5(An)	CAT	P2	F	18.83	118	8.1	5.49	39
CAT_F5(An)	CAT	P3	F	22.36	131	8.1	5.49	39
CAT_F5(An)	CAT	P8	F	20.24	117	8.1	5.49	39
CAT_F5(An)	CAT	P9	F	18.79	119	8.1	5.49	39
CAT_F5(An)	CAT	Q0	F	19.39	127	8.1	5.49	39
CAT_F5(An)	CAT	Q1	F	15.4	93	8.1	5.49	39
CAT_M1(Xa)	CAT	O1	M	11.9	88	8.1	5.49	28
CAT_M1(Xa)	CAT	O2	M	15.66	118	8.1	5.49	28
CAT_M1(Xa)	CAT	O3	M	18	139	8.1	5.49	28
CAT_M1(Xa)	CAT	O4	M	19.99	142	8.1	5.49	28
CAT_M1(Xa)	CAT	O6	M	13.39	99	8.1	5.49	28
CAT_M1(Xa)	CAT	O8	M	17.13	131	8.1	5.49	28
CAT_M1(Xa)	CAT	O9	M	10.56	81	8.1	5.49	28
CAT_M1(Xa)	CAT	P0	M	17.42	122	8.1	5.49	28
CAT_M1(Xa)	CAT	P1	M	16.36	127	8.1	5.49	28
CAT_M1(Xa)	CAT	P2	M	15.67	118	8.1	5.49	28
CAT_M1(Xa)	CAT	P3	M	17.38	131	8.1	5.49	28
CAT_M1(Xa)	CAT	P8	M	14.98	117	8.1	5.49	28
CAT_M1(Xa)	CAT	P9	M	15.37	119	8.1	5.49	28
